"Description","Elevation","Latitude","Longitude"
"Fiemme_Fassa_trk 319",863.9,46.283186,11.481298
"Fiemme_Fassa_trk 320",865.2,46.283229,11.481807
"Fiemme_Fassa_trk 321",865.4,46.283286,11.482069
"Fiemme_Fassa_trk 322",865.9,46.283368,11.482449
"Fiemme_Fassa_trk 323",866.0,46.283444,11.482699
"Fiemme_Fassa_trk 324",866.1,46.283493,11.482909
"Fiemme_Fassa_trk 325",865.7,46.283526,11.48304
"Fiemme_Fassa_trk 326",865.6,46.28355,11.48321
"Fiemme_Fassa_trk 327",865.5,46.283581,11.483432
"Fiemme_Fassa_trk 328",865.5,46.283612,11.483654
"Fiemme_Fassa_trk 329",865.4,46.283679,11.483865
"Fiemme_Fassa_trk 330",863.8,46.283894,11.484329
"Fiemme_Fassa_trk 331",863.1,46.28398,11.484528
"Fiemme_Fassa_trk 332",863.0,46.284126,11.484846
"Fiemme_Fassa_trk 333",863.1,46.284203,11.485044
"Fiemme_Fassa_trk 334",862.8,46.284333,11.485258
"Fiemme_Fassa_trk 335",862.1,46.284465,11.485394
"Fiemme_Fassa_trk 336",862.4,46.284642,11.485557
"Fiemme_Fassa_trk 337",862.9,46.284783,11.485655
"Fiemme_Fassa_trk 338",863.4,46.284986,11.485845
"Fiemme_Fassa_trk 339",863.5,46.2851,11.48598
"Fiemme_Fassa_trk 340",863.4,46.285162,11.486048
"Fiemme_Fassa_trk 341",863.4,46.285197,11.486102
"Fiemme_Fassa_trk 342",863.6,46.285222,11.486193
"Fiemme_Fassa_trk 343",864.1,46.285236,11.486376
"Fiemme_Fassa_trk 344",864.8,46.285273,11.486754
"Fiemme_Fassa_trk 345",865.1,46.28532,11.487068
"Fiemme_Fassa_trk 346",866.5,46.285348,11.487445
"Fiemme_Fassa_trk 347",867.8,46.285385,11.487798
"Fiemme_Fassa_trk 348",868.9,46.285439,11.488203
"Fiemme_Fassa_trk 349",869.4,46.285479,11.488438
"Fiemme_Fassa_trk 350",870.0,46.285475,11.488594
"Fiemme_Fassa_trk 351",870.9,46.285496,11.48888
"Fiemme_Fassa_trk 352",871.7,46.285509,11.489128
"Fiemme_Fassa_trk 353",872.1,46.285548,11.489389
"Fiemme_Fassa_trk 354",872.9,46.285595,11.489716
"Fiemme_Fassa_trk 355",874.8,46.285572,11.489935
"Fiemme_Fassa_trk 356",877.9,46.285529,11.490284
"Fiemme_Fassa_trk 357",880.5,46.285487,11.490542
"Fiemme_Fassa_trk 358",883.6,46.285427,11.490812
"Fiemme_Fassa_trk 359",885.3,46.285387,11.490991
"Fiemme_Fassa_trk 360",886.1,46.285376,11.491095
"Fiemme_Fassa_trk 361",887.2,46.285372,11.491263
"Fiemme_Fassa_trk 362",887.3,46.285361,11.491341
"Fiemme_Fassa_trk 363",887.6,46.285303,11.491559
"Fiemme_Fassa_trk 364",888.1,46.285252,11.491829
"Fiemme_Fassa_trk 365",887.6,46.285181,11.492176
"Fiemme_Fassa_trk 366",885.1,46.285149,11.492409
"Fiemme_Fassa_trk 367",882.8,46.285136,11.492616
"Fiemme_Fassa_trk 368",881.6,46.285124,11.492732
"Fiemme_Fassa_trk 369",881.1,46.285096,11.492796
"Fiemme_Fassa_trk 370",880.8,46.28504,11.492858
"Fiemme_Fassa_trk 371",881.4,46.284895,11.492916
"Fiemme_Fassa_trk 372",882.7,46.284669,11.492997
"Fiemme_Fassa_trk 373",883.5,46.284451,11.493091
"Fiemme_Fassa_trk 374",883.7,46.284341,11.493151
"Fiemme_Fassa_trk 375",883.5,46.284231,11.49325
"Fiemme_Fassa_trk 376",882.9,46.284129,11.493401
"Fiemme_Fassa_trk 377",881.0,46.28395,11.493769
"Fiemme_Fassa_trk 378",887.9,46.283248,11.494997
"Fiemme_Fassa_trk 379",891.6,46.282976,11.495477
"Fiemme_Fassa_trk 380",891.0,46.282929,11.495605
"Fiemme_Fassa_trk 381",889.9,46.282889,11.495785
"Fiemme_Fassa_trk 382",887.8,46.282855,11.496069
"Fiemme_Fassa_trk 383",886.5,46.282843,11.496237
"Fiemme_Fassa_trk 384",885.8,46.28282,11.496444
"Fiemme_Fassa_trk 385",885.1,46.282788,11.496689
"Fiemme_Fassa_trk 386",884.6,46.282746,11.496947
"Fiemme_Fassa_trk 387",885.1,46.282714,11.497179
"Fiemme_Fassa_trk 388",886.5,46.282709,11.497413
"Fiemme_Fassa_trk 389",887.6,46.28273,11.497699
"Fiemme_Fassa_trk 390",888.2,46.282761,11.497921
"Fiemme_Fassa_trk 391",887.7,46.282845,11.498184
"Fiemme_Fassa_trk 392",886.8,46.283025,11.498621
"Fiemme_Fassa_trk 393",885.3,46.283224,11.498981
"Fiemme_Fassa_trk 394",885.1,46.283447,11.499458
"Fiemme_Fassa_trk 395",884.6,46.283655,11.499844
"Fiemme_Fassa_trk 396",883.6,46.283793,11.500123
"Fiemme_Fassa_trk 397",883.1,46.283845,11.500203
"Fiemme_Fassa_trk 398",881.2,46.284011,11.500444
"Fiemme_Fassa_trk 399",880.3,46.284333,11.50094
"Fiemme_Fassa_trk 400",881.2,46.284435,11.501191
"Fiemme_Fassa_trk 401",881.6,46.284469,11.501283
"Fiemme_Fassa_trk 402",882.6,46.284519,11.501467
"Fiemme_Fassa_trk 403",883.7,46.284569,11.50169
"Fiemme_Fassa_trk 404",884.4,46.284619,11.501874
"Fiemme_Fassa_trk 405",884.9,46.28466,11.502045
"Fiemme_Fassa_trk 406",887.3,46.284788,11.502752
"Fiemme_Fassa_trk 407",888.5,46.284798,11.503116
"Fiemme_Fassa_trk 408",888.8,46.284811,11.50335
"Fiemme_Fassa_trk 409",889.0,46.284824,11.503584
"Fiemme_Fassa_trk 410",889.3,46.284812,11.503739
"Fiemme_Fassa_trk 411",890.0,46.284772,11.503906
"Fiemme_Fassa_trk 412",890.8,46.284732,11.504112
"Fiemme_Fassa_trk 413",891.6,46.284709,11.504306
"Fiemme_Fassa_trk 414",892.3,46.284688,11.504461
"Fiemme_Fassa_trk 415",893.2,46.28464,11.504588
"Fiemme_Fassa_trk 416",893.7,46.284563,11.504806
"Fiemme_Fassa_trk 417",894.0,46.284489,11.504932
"Fiemme_Fassa_trk 418",894.5,46.284367,11.505134
"Fiemme_Fassa_trk 419",894.8,46.284246,11.50531
"Fiemme_Fassa_trk 420",894.7,46.284195,11.505581
"Fiemme_Fassa_trk 421",896.0,46.284084,11.505718
"Fiemme_Fassa_trk 422",898.5,46.283935,11.505958
"Fiemme_Fassa_trk 423",902.5,46.28375,11.506171
"Fiemme_Fassa_trk 424",904.5,46.283539,11.506369
"Fiemme_Fassa_trk 425",906.7,46.283284,11.506513
"Fiemme_Fassa_trk 426",908.4,46.283111,11.506609
"Fiemme_Fassa_trk 427",909.2,46.282981,11.506772
"Fiemme_Fassa_trk 428",910.4,46.282786,11.507048
"Fiemme_Fassa_trk 429",909.9,46.282591,11.507338
"Fiemme_Fassa_trk 430",909.1,46.282359,11.507639
"Fiemme_Fassa_trk 431",909.0,46.282304,11.507701
"Fiemme_Fassa_trk 432",908.5,46.282147,11.507889
"Fiemme_Fassa_trk 433",908.2,46.282006,11.508129
"Fiemme_Fassa_trk 434",908.0,46.281921,11.508307
"Fiemme_Fassa_trk 435",907.6,46.281872,11.508486
"Fiemme_Fassa_trk 436",906.9,46.28184,11.508731
"Fiemme_Fassa_trk 437",904.0,46.281839,11.509186
"Fiemme_Fassa_trk 438",903.4,46.281821,11.50999
"Fiemme_Fassa_trk 439",905.0,46.281774,11.511325
"Fiemme_Fassa_trk 440",905.1,46.281723,11.512413
"Fiemme_Fassa_trk 441",904.6,46.281713,11.512893
"Fiemme_Fassa_trk 442",906.8,46.281728,11.513413
"Fiemme_Fassa_trk 443",907.8,46.281724,11.51362
"Fiemme_Fassa_trk 444",908.9,46.281724,11.513996
"Fiemme_Fassa_trk 445",909.4,46.281711,11.514204
"Fiemme_Fassa_trk 446",910.4,46.281687,11.514475
"Fiemme_Fassa_trk 447",911.7,46.281655,11.51472
"Fiemme_Fassa_trk 448",913.6,46.281612,11.51503
