,latitude,longitude,brand,operator,locality,fuel:lpg,address
97,46.0879612,11.184199699999999,Eni,Fronza Andrea e C. S.N.C.,CIVEZZANO,,"Agip Eni, Strada alla Fersina, Civezzano, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38045, Italia"
98,45.9965856,11.2591767,Firmin,Max Line Srl,CALDONAZZO,,"Total, Viale Trento, Costa di Brenta, Caldonazzo, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38052, Italia"
99,45.8722223,10.770377400000001,IP,Officina Mazzola di Mazzola Giancarlo e Giampaolo S.N.C.,LEDRO,,"IP, Via Maffei, Legos, Ledro, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38067, Italia"
100,46.1819951,11.831571400000001,Eni,Brugnolo Luciano,TONADICO,,"Agip Eni, Via Roma, Siror, Primiero San Martino di Castrozza, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, 38054, Italia"
101,45.851752399999995,10.574297999999999,Q8,Marteletti Mirco,STORO,,"Q8, Via Saletto, Storo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38089, Italia"
102,45.848490999999996,10.557564,Esso,Esso Storo - Self Area - di Demadonna Simone Diego & C. S.N.C.,STORO,,"Esso, Via di Vil, Storo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38089, Italia"
103,45.8899068,10.728708099999999,IP,Pellegrini Paolo,LEDRO,,"IP, 8, Via Nuova, Ledro, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38067, Italia"
104,45.892593299999994,10.6853771,Nord Petroli,Gruppo Nord Petroli S.R.L.,LEDRO,,"Gnp, SS240, Ledro, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38067, Italia"
105,46.0689999,11.1363023,Q8,Dido S.N.C. di Bahtic Edin & Bahtic Mina,TRENTO,,"Q8, Via Venezia, Cernidor, San Vito, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38100, Italia"
106,46.398582899999994,11.6691938,Tamoil,Stazione di Servizio Soraga di Lastei Mariacristina & C. S.A.S.,SORAGA DI FASSA,,"Tamoil, Stradon de Fascia, Soraga di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
107,46.398582899999994,11.6691938,Tamoil,Stazione di Servizio Soraga di Lastei Mariacristina & C. S.A.S.,SORAGA,,"Tamoil, Stradon de Fascia, Soraga di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
108,46.07026079999999,11.1162566,Eni,Detone Oscar,TRENTO,,"Agip Eni, ENI, Piedicastello, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
109,45.928203700000005,11.093256,Total Erg,Chesini Domenica,CALLIANO,,"IP, SS12, Calliano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
110,46.190762,11.0413809,,Scari S.R.L.,CAVEDAGO,,"Scari S.R.L., Strada Statale dei Laghi di Molveno e Tenno, Maso Trentini, Spormaggiore, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, 38010, Italia"
111,46.364055,11.0343921,Q8,,CLES,,"Q8, Viale Alcide de Gasperi, Pez, Cles, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38023, Italia"
112,46.0041565,11.2895201,Loro,Loro F.lli-S.P.A.,LEVICO TERME,,"Esso, Via Claudia Augusta, Costa di Brenta, Caldonazzo, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38056, Italia"
113,46.0701885,11.1165231,,Eni,TRENTO,,"ENI, Piedicastello, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
