"id strada";"denominazione";"localita di inizio strada";"localita di fine strada";"TIPO"
174;"Ortisè - Menas";"Claiano";"Menas";"C"
175;"di Bolentina";"Malè";"Bolentina";"C"
304;"di Bolentino diramazione Montes";;;"C"
176;"dei Fiorentini";"Passo Sommo (bivio S.S. 350 Km 15,950)";"confine Vicenza";"C"
177;"dei Francolini";"Folgaria (bivio S.P. 2 Km 24,020)";"confine Vicenza";"C"
178;"dei Francolini diramazione Fondo Grande";"bivio S.P. 143 Km 2,900";"Fondo Grande";"C"
179;"di Malè";"Terzolas";"Croviana";"C"
180;"di Ossana";"Cusiano";"Fucine";"C"
181;"del Rinassico";"S.S. 43 al km 21,300";"Toss di Ton";"C"
182;"del Rinassico diramazione Vigo";;;"C"
183;"Villazzano - Ponte Lodovico - S.S. 47";"Villazzano";"incrocio con S.S. 47";"C"
184;"di Marilleva";"Mezzana";"Marilleva 1400";"C"
185;"Avio - San Valentino";"Avio S.P. 90 km 4,094";"S.P. 3 Km 17,770 S. Valentino";"C"
186;"dei Monti Lessini";"Sdruzzinà km 334,789 della S.S. 12";"Sega di Ala confine Provincia di Verona";"C"
187;"della Roa";"Incrocio con S.P. n. 79 al km 41,829";"Confine provincia di Belluno";"C"
188;"del Lomaso";"Ponte Arche S.S 237 al km 99.380";"Vigo Lomaso";"C"
189;"del Lomaso diramazione Comano";"Poia  al km 2.620";"centro abitato Comano";"C"
190;"del Lomaso diramazione Lundo";"al km 4.390";"centro abitato Lundo";"C"
191;"del Lago di Cavedine";;;"C"
193;"del Lago di Cavedine diramazione Pietramurata";;;"C"
194;"di Pampeago";"Tesero - si stacca dalla S.S. 48 al km 28,688";"confine con la Provincia di Bolzano";"C"
195;"di Pampeago diramazione Lavazè";"S.S. 220 del Passo Lavazzè al km 15,950";;"C"
196;"Cappella - Dazio";"Lavarone Cappella SS 349";"Dazio (Folgaria) SS. 349";"C"
197;"Cappella - Dazio svincolo Cappella - S.S. 349";;;"C"
297;"Cappella - Dazio svincolo Dazio - S.S. 349";;;"C"
198;"della Polsa";"Brentonico S.P. 3 Km 8,924";"Polsa fine strada";"C"
199;"di Camposilvano";"S.S. 46 Km 53,200";"S.S. 46 Km 45,525 Passo Pian delle Fugazze";"C"
200;"Mezzomonte - Serrada";"Mezzomonte (bivio S.S. 350 Km 6,050)";"Serrada (bivio S.P. 2 km 19,695";"C"
201;"della Val Noana";"Mezzano rotatoria con S.S. 50 al km 68,320";"Bivio diga ENEL";"C"
202;"del Duron";"Marazzone";"Basso Arnò";"C"
203;"del Duron diramazione Tonello";"Zuclo";"Tonello S.S 237 al km 87.700";"C"
204;"del Duron diramazione Spine";"Spine";"Spine S.S 237 al km 87.300";"C"
205;"del Redebus";"Bedollo bivio S.P. 83";"Palù del Fersina - S.P. 8";"C"
206;"di Santa Colomba";"Torchio - S.P. 71";;"C"
207;"di Levico - Novaledo";"Pergine";"Marter in corrispondenza km 0,000 S.P. n. 65";"C"
208;"di Levico - Novaledo svincolo S.S. 47";;;"C"
210;"di Levico - Novaledo svincoli Marter";;;"C"
301;"di Levico - Novaledo svincolo 2 S.S. 47";;;"C"
309;"di Levico - Novaledo svincoli zona ind.le Novaledo";;;"C"
212;"Mendola - Campi da Golf";"S.S. 42 al km 220,350";"Campi da Golf";"C"
213;"dei Dossioli";"S.P. 208 km 11,553 (Pra Stua)";"S.P. 3 Km 28,707 loc. Dossioli";"C"
214;"del Lusia";"incrocio S.S. 50";"Fine S.P. loc. Castellir";"C"
215;"di Fiemme";"loc. Vecchia Stazione S.S. 48 km 20,350";"loc. Rotonda Ziano S.S. 48 km 35,000 fine S.S.";"C"
216;"di Fiemme diramazione Molina";;;"C"
217;"di Fiemme diramazione Castello";;;"C"
218;"di Fiemme diramazione Cermis";;;"C"
220;"di Fiemme diramazione Ziano Panchià";;;"C"
221;"di Roveda";;;"C"
222;"di Pregasina";"Biacesa (incrocio con S.S. 240 km 24,825)";"fine galleria";"C"
223;"dell'Interporto";;;"C"
224;"dell'Interporto svincolo circonvallazione";;;"C"
294;"dell'Interporto svincolo autostrada";;;"C"
225;"Spiazzo - Bocenago";"C.a.Spiazzo S.S 239 al km 38.270";"(Gal) S.S 239 al km 33.900";"C"
226;"della zona industriale di Scurelle";"incrocio con S.S. 47 al km 91,860";"incrocio con S.P. n. 65 km 14,166";"C"
227;"di Monzon";"da bivio S.S. 48 km 56,180";"S.C. 223 fine S.P.";"C"
228;"del Lago di Calaita";"incrocio con  S.P. n. 79";"Rifugio Calaita";"C"
229;"del Lago di Calaita diramazione Prade";"Mureri incrocio con S.P. 239 al km 2,455";"Incrocio con S.P. n. 79 al km 8,528";"C"
230;"del Cermis";;;"C"
231;"di Riccomassimo";;;"C"
232;"di Val di Bondone";;;"C"
233;"del Cirè";"località Cirè";"Ponte Regio Pergine";"C"
236;"ex S.S. 47 della Valsugana diramazione Cirè";;;"C"
237;"ex S.S. 47 della Valsugana diramazione zona industriale";;;"C"
238;"ex S.S. 47 della Valsugana diramazione Doss della Roda";;;"C"
239;"della zona industriale di Borgo Valsugana";;;"C"
284;"di Santa Massenza";;;"C"
292;"del Celado";;;"C"
320;"di Salter";"Malgolo";"Romeno";"C"
336;"di Ponte Arche - Stenico";"Ponte Arche (SP 33 km 0.100)";"Stenico (SP 33 dir)";"C"
323;"di Valfloriana";"SP 71 loc. Casatta";"Bait del Manz";"C"
324;"di Ponte Oliveti";"SP 214";"SP 84";"C"
327;"di Montesover";"SP 83";"Montesover";"C"
328;"Di Montesover diramazione Piani";"SP 252";;"C"
330;"di Transacqua";"rotatoria SS 50";;"C"
331;"della Rupe";"rotatoria SP 235";"rotatoria 90 3° tronco";"C"
335;"di Lavis";"Rotatoria SP 235";"Lavis rotatoria SS 12";"C"
337;"Trento sud Ravina";"innesto SS 12";"innesto SP 90 II tronco";"C"
339;"di Grigno Centro";"SS 47";"SP 60";"C"
240;"accesso depuratore C 2";;;"Z"
241;"accesso depuratore C 3";;;"Z"
242;"accesso depuratore Mezzana";;;"Z"
243;"accesso depuratore Malè";;;"Z"
244;"Scuola sport Tonale e Altoporto";;;"Z"
245;"accesso depuratore Levico";;;"Z"
246;"accesso depuratore Lavarone";;;"Z"
247;"accesso depuratore Carbonare";;;"Z"
248;"accesso depuratore Tremalzo";;;"Z"
249;"accesso depuratore Pieve di Ledro";;;"Z"
291;"accesso depuratore Taio";;;"Z"
296;"accesso depuratore Malga Laghetto";;;"Z"
306;"ex S.S. 47 della Valsugana tratto Crozi - Civezzano";;;"C"
307;"accesso depuratore Calavino";;;"Z"
313;"accesso depuratore Faver";;;"Z"
318;"accesso depuratore C 3 di Pieve Tesino";;;"Z"
