"Denominazione impianto","Comune","Lunghezza Inclinata (m)","Dislivello (m)","Tipo veicolo","CapacitÃ  Veicolo (Pers.)","Portata Max (Pers/h)"
"Valfontane - Monte Agaro","Castello Tesino","541","147","seggiola",4,1798
"PrÃ  Alpesina - Monte Baldo","Avio","1026","391","seggiola",4,1800
"Malga Cioca - Malga Grual","Pinzolo","1439","481","seggiola",4,1500
"Polsa - Postemon","Brentonico","920","310","seggiola",4,1793
"Plan - Pancugolo","Ragoli","448","213","seggiola",4,1600
"Costa","Folgaria","302","31","biposto",2,986
"Fondo Piccolo 6Â°","Folgaria","175","17","biposto",2,1000
"Bertoldi","Lavarone","169","18","biposto",2,990
"Malga Rivetta","Lavarone","630,3","163,3","monoposto",1,820
"S.Valentino","Brentonico","931","187","biposto",2,1200
"Dei Larici","Pinzolo","388","80","monoposto",1,720
"Sombiaccia","Spiazzo","304","66","monoposto",1,502
"P.so Presena Dx","Vermiglio","871","274","biposto",2,1200
"P.so Presena Sx","Vermiglio","871","274","biposto",2,1200
"Campo Scuola - Rivetta 2Â°","Lavarone","172,75","39","monoposto",1,344
"Campo Scuola Dx","Dimaro","305","51","monoposto",1,720
"Campo Scuola Sx","Dimaro","305","51","monoposto",1,720
"Coste di Bolbeno","Bolbeno","439","97,11","monoposto",1,711
"Chiesetta 2","Soraga","743","110","monoposto",1,900
"Biancaneve","Dimaro","332","60","monoposto",1,720
"Passo Cereda","Tonadico","405","74","monoposto",1,534
"Cigolera","Siror","787","217","monoposto",1,716
"PrÃ  delle Nasse Dx","Siror","230","24","monoposto",1,720
"PrÃ  delle Nasse Sx","Siror","230","24","monoposto",1,720
"Capanna Margherita","Moena","407","66","monoposto",1,897
"Avisio","Canazei","169,55","34,5","monoposto",1,720
"Chiesetta 1Â°","Soraga","741","109,93","monoposto",1,700
"Pera","Pozza di Fassa","244","54","monoposto",1,720
"Col de Lin","Campitello di Fassa","278","61","monoposto",1,720
"Doss della Pesa","Mezzana","368","86","monoposto",1,720
"Nuova M.ga Varena","Varena","563,87","73,4","monoposto",1,600
"P.so Pampeago - Pala di Santa Sx","Tesero","913,25","190,5","monoposto",1,720
"Baby Tognola","Siror","227,19","26","monoposto",1,715
"Baby Buffaure","Pozza di Fassa","183,78","21,5","monoposto",1,600
"Delle Baite","Canazei","462,74","55,2","monoposto",1,720
"Sasso di Rocca","Canazei","616","134","monoposto",1,720
"Momo","Brentonico","572","159","monoposto",1,891
"Malga Coazzo","Castello Tesino","400","84","monoposto",1,720
"Passo Coe - Cima Plaut","Folgaria","577","95","monoposto",1,900
"Pradisci","Bedollo","174","31","monoposto",1,600
"Gonzaga","Canazei","454,63","81,55","monoposto",1,900
"Casina - Monti Alti","Dimaro","302,85","52,82","monoposto",1,720
"Biancaneve - Campi alle Pozze","Pejo","377","76,96","monoposto",1,720
"Rolle","Siror","683","103","monoposto",1,900
"Friedrich August - Gabia","Campitello di Fassa","192","42","monoposto",1,550
